input,target
YOU SHOWER EVERY-DAY ?,Do you shower everyday?
SEE NEAR-FUTURE MONDAY .,I will see you next Monday.
"TODAY , DO-WHAT YOU ?",What are you doing today?
I FEEL BAD .,I feel bad.
I THINK F-L-U .,I think I have the flu.
FIVE-OF-WE PLAN GO-AWAY .,We plan to go.
TEMPERATURE WHAT ?,What is the temperature?
HI ! MY NAME Z-A-C-H .,Hi! My name is Zach. 
R-I-C-H-A-R-D MARRIED JUNE FOURTEEN YEAR TWO-THOUSAND-SIX .,"Richard got married on June 14, 2006."
NOW-MONTH NEW FISH WE BUY .,"This month, we bought new fish."
SET-UP VOLLEYBALL .,We set up for volleyball.
MY CAT I LIKE CUDDLE .,I like to cuddle up with my cat.
PAY HOW-MANY ?,How much did you pay?
GIRL GIVE BOY .,The girl gave to the boy.
YOUR CHURCH SEND MISSIONARY ?,Does your church send out missionaries?
I THINK TROUBLE WORK .,I think there was trouble at work.
NEXT-YEAR I PLAN RETIRE .,I plan to retire next year.
"IT COMPUTER EXPENSIVE  , EASY BREAK .",The computer is expensive and breaks easy.
T-T-Y BUY YOU !,Buy a TTY!
YEAR SEVENTEEN-NINETY-SEVEN M-A-R-Y BORN .,Mary was born in 1797.
"THAT CAT , M-I-G-U-E-L FORGET IT BUT M-A-R-K KNOW IT .","That cat, Miguel forgot it, but Mark knows it."
RECENT YOU INSULT ANYONE ?,Have you recently insulted anyone?
ELEVATOR STUCK .,The elevator is stuck.
YOUR NEIGHBOR WOW! RICH STUBBORN .,Your neighbor is very rich and stubborn.
CRACKERS CHEESE KIDS LIKE EAT .,The kids like to eat crackers and cheese.
"F-R-A-N , SHE AMERICAN .",Fran isn't an American.
"I READ BOOK FINISH , I GO-TO YOUR HOUSE .","I'll read the book, then I'll come to your house."
T-V BREAK WHEN ?,When did the TV break?
TEACH+AM I .,I'm a teacher.
GERMANY PEOPLE DRINK MUCH BEER ?,Do people in Germany drink a lot of beer?
INTERPRETER I PREFER WHY? SHE RESPONSIBLE  .,I prefer that interpreter because she's responsible.
"TOMORROW RAIN , GAME CANCEL ?",Will the game be cancelled tomorrow due to rain?
TIME SEVEN NIGHT ACCEPT YOU ?,Does 7pm work?
I DECIDE MOVE-TO O-H-I-O . BETTER .,I decided to move to Ohio. It's better.
FLY-BACK WHEN ?,When do we fly back?
"VERY-HOT ! MYSELF NEVER MOVE-THERE , NEVER .",It was very hot! I'd never move there.
COLLEGE I .,I go to college.
J-I-M LOVES J-E-N .,Jim loves Jen.
YOU SINGLE ?,Are you single?
"SHAVE DOG HEAD , NOTHING !",I didn't shave the dog's head!
BUILDING IT OLD .,The building is old.
SHE HER MOTHER SHE .,She is her mother.
P-A-U-L-A GOOD WORK+AM .,Paula is a good worker.
EVERY-DAY YOU BUY WHAT ?,What do you buy everyday?
YOU GO-TO-IT CLOSE-DOOR WHY? BUG ENTER-REPEATEDLY .,Go and close the door because the bugs keep coming in.
"LEARN MORE ASL , I READY ALWAYS .",I am always ready to learn more ASL .
ILLINOIS INDIANA WHICH ?,Illinois or Indiana?
MUST .,"Yes, you must."
"PRISON , YOU THINK SHOULD BUILD MORE ?",Do you think more prisons should be built?
LIBRARY NEAR STUDENT CENTER .,The library is near the student center.
NEVER P-O .,I never worked at the post office.
DINOSAUR ALL DEAD ?,Are all dinosaurs extinct?
MOST DOG BITE ?,What kind of dog bites the most?
YOU WANT STOP LEARN SIGN ?,Do you want to stop learning sign language?
REPUBLICAN I .,I am a Republican.
ICE SKATE MYSELF TRY I FAIL .,"I tried to ice skate by myself, but I failed."
B-I-G B-E-A-R . NEAR . I DRIVE-THERE EASY .,To Big Bear. It's nearby. I can drive there easily.
"TEST FINGER SPELLING , MY TEACH+AM SHE-GIVE-I .",My teacher gave me my spelling test.
"YOU , OPEN-DOOR .",Open the door.
SUMMER VACATION WHEN ?,When is summer vacation?
YEAR EIGHTEEN-NINETY-FOUR P-A-U-L H-U-B-B-A-R-D HIMSELF GALLAUDET FOOTBALL Q-B .,Paul Hubbard was the quarterback for Gallaudet University in 1894.
YOU LIKE COOKIES WITH MILK ?,Do you like cookies and milk?
ONE PLUS TWO EQUAL THREE .,1 + 2 = 3
YOU TAKE PAPER .,You take out the paper.
YOU LIKE WHAT ?,What do you like?
"I LIKE GO-TO T-A-R-G-E-T , M-A-C-Y-'-S , B-E-S-T B-U-Y .","I like to go to Target, Macy's and Best Buy."
TODAY I VISIT GRANDMOTHER .,I am visiting grandmother today.
"YESTERDAY I-TELL-THEY-TWO , RAIN WILL .",I told the two of them that it would rain.
YOUR HOUSE NEED PAINT ?,Does your house need painting?
MY DAUGHTER SHE JUMP ALWAYS NEVER STOP .,My daughter is constantly jumping; she never stops.
THEY FINISH FIND BOX SMALL ?,Did they already find the small box?
PITCHER TOP SHELF I REACHED .,I reached for the pitcher on the top shelf.
"WOMAN THERE , SHE INTERPRET+AM .",That woman is an interpreter.
THREE-FIVE M-M D-I-G-I-T-A-L CAMERA MY PARENTS GIVE-I BIRTHDAY .,My parents gave me a 35-mm digital camera for my birthday.
CHEESEBURGERS MY BOYFRIEND R-A-L-P-H LIKES .,My boyfriend Ralph likes cheeseburgers.
"TODAY , YOUR LAST CLASS WHAT ?",What is your last class today?
I REFUSE I .,I refuse.
"SELL YOUR CAT , NOTHING !",I didn't sell your cat!
D-W-A-Y-N-E QUOTE T-H-E R-O-C-K J-O-H-N-S-O-N HIMSELF HARD-AS-A-ROCK BIG-SHOULDERS PLUS NICE SMILE .,"Dwayne ""The Rock"" Johnson is hard as a rock, muscular, and has a nice smile."
I FORGET PAPER BOOK PENCIL .,"I forgot paper, a book, and a pencil."
YOU EAT FINISH ?,Are you finished eating?
ENOUGH HAVE FOR-FOR? CAT FOOD  .,I have enough money for cat food.
YOUR HOUSE PAY LOW ?,Do you pay a low amount for your house?
BOY FALL HE .,"The boy fell down, he did."
MY UNCLE FARM+AM .,My uncle is a farmer.
CAR THERE .,The car is over there.
YOU-GIVE-I MONEY .,You are giving me money.
ALL DAY WORK I .,I worked all day.
YESTERDAY RAIN .,It rained yesterday.
SON YOU SEE? HE DISAPPEAR HE  .,"Have you seen my son, he's disappeared?"
GALLAUDET FIRST COLLEGE FOR DEAF .,Gallaudet was the first college for deaf people.
I FEEL FINE .,I feel fine.
YOU-FLY TO SPAIN WHEN ?,When are you flying to Spain?
MY TWO CATS LOOK ALIKE .,My two cats look alike.
S-S PENSION HE .,He's on Social Security.
ONE-MONTH EQUAL HOW-MANY DAY ?,How-many days are in a month?
I WANT I-TAKE-YOU-TWO THERE RESTAURANT .,I want to take both of you to the restaurant.
MAN HE NEED MONEY HE .,The man needs money.
"I-T-T-Y-YOU YESTERDAY NIGHT , NOTHING I .",I didn't call you on the TTY last night.
NOT-YET GATHER-TOGETHER SINCE TWO YEAR .,We haven't gotten together for two years.
THREE-OF-WE WANT WATER . THREE-OF-THEY WANT MILK .,The three of us want water. The three of them want milk.
YOUR BIRTHDAY WHEN ?,When is your birthday?
PRINT BREAKDOWN .,My printer is broken.
NICE  MEET YOU .,It is nice to meet you.
I DON'T LIKE MOTORCYCLES .,I don't like motorcycles.
SHIRT TIE OPPOSITE .,The shirt and tie don't match.
NEXT-WEEK FRIDAY ?,Next week on Friday?
YOU-MIND POUR+++ WATER ?,Do you mind if I pour water?
"MY COUSIN , SHE COMPUTER-ANALYZE+AM .",My cousin is a computer analyst.
DON'T-KNOW I .,I don't know.
EVERY-NIGHT I COOK .,"Every night, I cook."
DIDN'T-MATTER HE STILL EXPERT CREATE MUSIC PLAY-PIANO .,"Didn't matter, he was still able to create music and play the piano."
CHURCH OLD THERE .,The old church is over there.
I MUST GO-THERE DOCTOR WEEKLY .,I must got to the doctor every week.
YOUR RUNNING SHOES LOOK-FOR NEED YOU .,You need to go hunt for your running shoes.
"HOT WEATHER , YOU LIKE ?",Do you like hot weather?
MY SISTER SKILL TALK FEW LANGUAGE SKILL .,My sister speaks several languages fluently.
MEETING SET-UP NOT-YET .,The meeting isn't set up yet.
IT STINK IT .,It stinks.
"INTERPRETER LIST , YOU HAVE ?",Do you have a list of interpreters?
MY MORNING CLASS NAME? SCIENCE .,The name of my morning class is science.
"POLAND YOU ARRIVE-THERE , DO-WHAT YOU ?",What are you going to do when you arrive in Poland?
"NURSE GIVE-SHOT , I FEEL NOTHING I .",I felt nothing when the nurse gave me a shot.
"EXCUSE-I , I NAME T-I-N-A . NAME YOU ?","Excuse me, I'm Tina, what's your name?"
CAR ACCIDENT-CRASH HAPPEN WHY ?,Why do car accidents happen?
"QUIT , WHY , WHAT ?",Quit? Why? What happened?
COUSIN HIMSELF STRANGE YOU HAVE ?,Do you have a cousin who is strange?
DURING TEST TALK PROHIBIT .,No talking during the test.
YOUR DAD HAVE BEARD ?,Does your dad have a beard?
BOOK THERE I READ .,"That book there, I read it."
TIME EAT ?,Is it time to eat?
MY MOTHER MARRIED WHERE? PENNSYLVANIA .,My mother was married in Pennsylvania.
MY UNCLE BORN WHERE? MONTANA .,My uncle was born in Montana.
HOW HORSE ESCAPE HOW ?,How did the horse escape?
YOU PREFER LIVE SINGLE MATCH WHICH ?,"Which do you prefer, living single or being in a relationship?"
GOOD. OPEN-MOUTH-WIDE YOUR TOOTH I PULL-OUT .,"Good, open your mouth wide, and I will pull your tooth out."
I SHORT .,I am short.
"MY ASL COURSE , FASCINATING .",My ASL course is fascinating.
HALLOWEEN SCARY .,Halloween is scary.
I NOT HUNGRY SOUP ORDER FINISH .,"I'm not hungry, I'll just order soup."
YOU BUY SEVERAL PANTS WHAT-FOR ?,Why did you buy several pairs of pants?
YOUR BEDROOM UPSTAIRS ?,Is your bedroom upstairs?
RIGHT YOU .,You are right.
YOU HAVE EXCUSE ?,Do you have an excuse?
YOU INTERESTING YOU .,You are interesting.
YOU TAKE SIGN WHERE ?,Where did you take sign language?
HURRICANE S-E-A-S-O-N YOU READY PREPARE ?,Are you prepared for hurricane season?
TELEPHONE NUMBER WOMAN SHOULD SHE GIVE-I SHOULD SHE .,The woman should give me the telephone number.
"HER GRANDSON , MY DAUGHTER , TWO-OF-THEY FRIEND .",Her grandson is my daughter's friend.
HI WHAT YOUR NAME ?,"Hi, what's your name?"
APPEARANCE YOUNG YOU .,You look young.
I WORK CONTINUE .,I will continue working. 
SUPPORT ADOPT I .,I'm for adoption.
THAT MOVIE GOOD . I ENJOY .,"That movie, it was good. I enjoyed it."
I HUNGRY .,I'm hungry.
I J-U-D-Y . NICE I-MEET-YOU .,I'm Judy. It is nice to meet you.
"LAST NIGHT , GAME SEE FINISH YOU ?",Did you see the game last night?
C-A-R-L O-L-G-A LOVE HE .,"As for Carl, Olga loves him."
YOUR M-O-L-A-R PAIN ?,Your molar is sore?
MY FAVORITE COLOR GREEN .,My favorite color is green.
MAYBE GO-AHEAD GET LAWYER .,Maybe you should get a lawyer.
I WISH JOIN . CAN'T . WORK .,"I wish I could join one, but I can't. I work."
HIS NAME S-E-A-N HIS ?,Is his name Sean?
"STUDENTS HERE , YOU LIKE ALL ?",Do you like all of the students here?
HE LOSE BOOK GREEN HE .,He lost a green book.
SIX SIBLINGS I HAVE I OLDEST .,I have six siblings and I am the oldest.
RECENTLY BLUEBERRY CANDLE I BUY .,I just bought a blueberry candle.
LAST MONTH C-O-A-S-T G-U-A-R-D MY DAUGHTER JOIN .,My daughter joined the Coast Guard last month.
TWO-YEARS-AGO HE UGLY .,He was ugly 2 years ago.
BODY BREAK ANY ?,Were any bones broken?
DISBELIEVE HE .,He's an atheist.
"BEFORE MONDAY , I WORK .",I worked last Monday.
I FIND CHAIR BLACK .,I found a black chair.
I LIKE COLD BEST .,I like winter best.
I LOVE B-O-B .,I love Bob.
YOU MORNING CLASS NAME ?,What is the name of your morning class?
"I VERY-ENJOY TAKE-PICTURE AND FINISH IN-TWO-YEAR , GET JOB , EARN MONEY .","I enjoy taking pictures very much, and in two years I would be finished and could get a job and earn money. "
"SIGN WITH FRIEND , YOU LIKE ?",Do you like signing with your friend?
"YESTERDAY FIX FENCE , HOW YOU ?",How did you fix the fence yesterday?
"SATURDAY NIGHT , D-E-B-B-I-E AND I EAT RESTAURANT NEAR L-A-K-E M-I-C-H .","Saturday night, Debbie and I ate at a restaurant near Lake Michigan. "
"MEETING , I URGE YOU GO-TO .",I urge you to go to the meeting.
"LAST NIGHT , SUNSET BEAUTIFUL .",The sunset was beautiful last night.
"SUPPOSE QUIT , WITHDRAW-FROM GAME , YOU-INFORM-HE MUST .","If one of you quits or backs out, you must tell each other."
R-U-S-H L-I-M-B-A-U-G-H HIMSELF RADIO HOST . HE DEAF BUT HAVE COCHLEAR IMPLANT .,"Rush Limbaugh is a radio host. He is deaf, but uses cochlear implants to hear."
"PAPER , I SEE-NONE .",I don't see any paper.
I-KNOW-SHE .,I know her.
SPEAK LITTLE BIT .,I speak a little bit.
THANK YOU CARDS DON'T FORGET SEND .,Don't forget to send your thank you cards!
WIFE NOW VISIT WHERE ?,Where is your wife visiting now?
"REALLY I-INFORM-YOU , HAVE NONE TIME I .",Really I must tell you I have no time.
T-V C-A-B-L-E HAVE YOU ?,Do you have cable TV?
LOOK-AT-I .,Watch me.
HE NOT FEEL GOOD HE .,He doesn't feel well.
YOU CALLED WHAT ?,What's your name?
HIPPOPOTAMUS WEIGH HOW MUCH ?,How much does a hippopotamus weigh?
"MUSIC , LOUD , YOU LIKE ?",Do you like loud music?
LUGGAGE TICKET FINISH .,Have you checked your luggage?
PLEASE YOU-HELP-I . I UNDERSTAND .,Please help me. I understand.
FEEL ALL-RIGHT ?,Do you feel all right?
"PEOPLE DEAF , SOME THINK LIP-READ FRUSTRATE-CONTINUALLY .",Some deaf people think lip reading is continually frustrating.
LETTER YOU GET WILL YOU ?,Will you get a letter?
"MOTHER , TEACHER REQUIRE J-O-H-N LIPREAD .","Mother, the teacher requires John to lipread."
MY SISTER FROM WHERE? TENNESSEE .,My sister is from Tennessee.
"OK , YOU-TWO YOU-AGREE GAME TOMORROW TIME TWO , RIGHT ?","You two have agreed that the game tomorrow will be at two o'clock, right?"
YOU SIGN-FLUENT .,You sign very fluently.
HEAR ?,Are you hearing?
"STUDY , TEST NOT DIFFICULT . NOT STUDY , DIFFICULT .","If you study, the test won't be difficult. If you don't study, it will be difficult."
MY HOUSE THERE .,My house is over there.
M-O-R-R-I-S B-R-O-D-E-R-S-O-N HIMSELF DEAF PAINTER .,Morris Broderson is a deaf painter.
EASTER SUNDAY YOUR MOM WHAT-DO ?,What does your mother do on Easter Sunday?
TIRED YOU ?,Are you tired?
I MAJOR ENGLISH .,I'm majoring in English.
AUTUMN FEEL SHORT .,Fall seems short.
TIME EIGHT PM W-I-L-L DIED .,Will died at 8:00 PM.
"NO , FRIEND FINISH .",No. We are just friends.
NEWS ARTICLE YOU CLIP-OUT SAVE ?,Did you save the news article you clipped out?
HAPPY MEET .,I am happy to meet you.
I EAT WILL I .,I will eat.
LONELY WHO ? YOU ?,Who's lonely? You?
"YOUR PHONE NUMBER , YOU POST BATHROOM ?",Would you post your phone number in the bathroom?
TWO-WEEKS-FROM-NOW NEW JOB START I EXCITED .,"Two weeks from now, I will start a new job and I am excited."
"FINE , PAST-NIGHT MOTHER-FATHER USE-ASL ALL-NIGHT .","Fine, last night my parents did a lot of signing all night long."
LAST-YEAR TICKET HOW-MANY YOU ?,How many tickets did you get last year?
"YESTERDAY HOMEWORK FINISH , I GO .","Yesterday, after I finished my homework, I left."
TIME SIX AM M-A-R-Y BORN .,Mary was born at 6:00 AM.
"CAR RED THERE , I WANT .",I want that red car.
I STUPID MATH I .,I'm terrible at math.
YOU WANT GO HOME NOW ?,Do you want to go home now?
"YOUR HOUSE , FRONT DOOR , WHAT COLOR ?",What color is the front door of your house?
"I AGE FIFTY-NINE . J-O-H-N , HE-ASK-I MY AGE . I-TELL-HE FORTY-NINE . HE BELIEVE I !",I'm 59 years old. John asked me my age; I told him 49. He believed me!
G-R-A-N-V-I-L-L-E R-E-D-M-O-N-D HIMSELF DEAF ARTIST .,Granville Redmond was a deaf artist.
"WINTER , I GO-THERE-REPEATEDLY .",I go there often in the winter.
COOKIE I MAKE MYSELF .,I made some cookies myself.
"YESTERDAY , TO-TELEPHONE , FIND FRIEND MOVE N-E-B-R-A-S-K-A .",Yesterday I called and found out that she had moved to Nebraska. 
"GEOGRAPHY , YOU TAKE-UP ?",Are you taking geography?
I LISTENING MUSIC ON RADIO HAPPY WRONG MUSIC STOP .,I was happily listening to music on the radio when it suddenly went off.
"YES , HE WRITE HIMSELF .","Yes, he wrote it himself."
I HELP YOU MY ASL TEACHER ASK I .,My ASL teacher asked me to help you.
"WARM COOKIE AND MILK , YOU LIKE ?",Do you like warm cookies and milk?
MY MOTHER LIVE WHERE? GEORGIA .,My mother lives in Georgia.
BUILDING IT VERY-OLD .,The building is very old.
WHY AGAINST YOU ?,Why are you against that?
"JANE , SHE-PICK-TWO-THEY BECOME LEAD+AM .",Jane picked both of them to become the leaders.
SO-SO .,They're okay.
FOUR-OF-WE PLAN GO-AWAY .,We plan to go.
YOU HEAR DEAF ?,Are you hearing or deaf?
HE HIS TEACHER SHE .,He is his teacher.
HE YOUR GRANDFATHER .,He is your grandfather.
MY BROTHER SMART .,My brother is smart.
YOU NEED BOX SMALL ?,Do you need a small box?
COAT PUT CLEANERS FINISH SHORTER SLEEVE .,"When I took my coat to the cleaners, it shrunk."
"I WORK , FEEL PAIN-IN-CHEST TWO-DAY , THREE-DAY .",I was working and felt chest pains for two or three days.
HAVE WONDERFUL PICNIC .,We had a wonderful picnic.
MOTHER WORRY-REPEATEDLY FATHER HEART .,Mom worries a lot about Dad's heart.
HOUSE IT NEAR WHERE? EAST RIVER  .,The house is near the east river.
YOU LOOK-LIKE YOUR DAD ?,Do you look like your father?
TELEPHONE NUMBER HE MEMORIZE NOT-YET HE .,He hasn't memorized the telephone number.
IT C-O HAVE NONE DEAF WORK .,The company doesn't have any deaf workers.
POPCORN COSTS SIX DOLLARS .,Popcorn costs $6.00.
"YESTERDAY HE WALK FINISH , EAT HE .","Yesterday, once he had ifnished his walk, he ate."
GYMNASTICS S-I-M-O-N-E B-I-L-E-S LOVES .,Simone Biles loves gymnastics!
"EVERY-MORNING I WAKE-UP EARLY , EXERCISE , TAKE-OFF WORK .","Every morning I wake up early, exercise, and then head to work."
"YOUR CEREAL , YOU LIKE BANANA ?",Do you like bananas on your cereal?
PLEASE YOU-PAY-I TOMORROW .,Please pay me tomorrow.
PAST TEST THIS CLASS YOU WRONG HOW-MANY ?,How many did you miss on the previous test you took in this class?
DEER COLOR WHAT? TAN .,The deer is tan.
LAW PASS RESPONSIBLE WHO? LEGISLATURE CONGRESS .,The legislature or congress is responsible for passing laws.
"PROBLEM SEVEN , I STRUGGLE-CONTINUALLY .",I've struggled for a long time with problem seven.
GYM AROUND-THE-CORNER NEAR THEATER .,The gym is around the corner near the theater.
FLOWER BOWL HAVE SCALLOPED-RIM .,The flower bowl has a scalloped rim.
YOUR BACKPACK HAVE ZIP ?,Does your backpack have a zipper?
TALES MY UNCLE GOOD ABOUT WHAT? GROW UP FARM .,My uncle is very good at telling tales of his life on the farm.
I FEEL VERY-SICK .,I feel very sick. 
YOU OWE I TWO-HUNDRED-AND-TWENTY-SIX .,You owe me two-hundred-and-twenty-six dollars.
LIE SOMETIMES O-K ?,Is it okay to lie sometimes?
YOU YOU-ASK-SHE BUY I BOOK NEW ?,Will you ask her to buy me a new book?
I NEED BOOK I .,I need a book.
"YESTERDAY , FIRED .","Yesterday, he was fired."
LIONS TIGERS BEARS D-O-R-O-T-H-Y AFRAID .,"Dorothy is afraid of lions, tigers and bears."
"SPRING TIME SPRINGS FORWARD , FALL TIME FALLS BACK DON'T FORGET .",Don't forget time springs forward in the Spring and falls back in the Fall.
HE EXPLAIN NOTHING .,I have to repeatedly ask him questions.
MY FATHER FROM WHERE? INDIANA .,My father is from Indiana.
YESTERDAY I TOSSED OUT MY OLD CLOTHES .,Yesterday I tossed out my old clothes.
I MOVE++ .,I moved around a lot.
SHE KNOW MY NAME SHE ?,Does she know my name?
YOU NEED BOOK NEW ?,Do you need a new book?
YOU TELL .,You tell her.
YESTERDAY NIGHT GRANDMOTHER DIE .,Last night grandmother died.
TELL FINISH YOU .,You told her.
I FINISH I-MEET-HE .,"Yes, I have met him."
I WILL GO COLLEGE I .,I will go to college.
NEW YORK THERE HOTEL ARRIVE FINISH TIRED I .,I was exhuasted by the time I arrived at the hotel in New York.
YOU THINK HARD-OF-HEAR SHOULD MARRY DEAF OR HEAR ?,Do you think hard-of-hearing people should marry Deaf people or Hearing people?
"DURING YOU STUDY , WHO INTERRUPT YOU MOST ?",Who interrupts you the most when you're studying?
YESTERDAY I PLAY SOFTBALL .,"Yesterday, I was playing softball."
MY COUSIN OLD THREE .,My cousin is three years old.
MY E-X BOYFRIEND ANGRY-REPEATEDLY . I DON'T-LIKE .,My ex-boyfriend would become angry all the time. I didn't like that.
HOW-MANY HOUR EQUAL ONE DAY ?,How-many hours are in a day?
CAN YOU MANAGE YOURSELF BUSINESS ?,Can you run your own business?
"CAN'T . THIS WEEK , I BUSY .",I can't. I am busy this week.
YOU MEAN WHITE HAT ?,Do you mean the one with the white hat?
YOU HAVE DOLL HAIR BROWN ?,Do you have a doll with brown hair?
A-L-I MAYBE NOT SHOW-UP .,Ali may not show up.
I ASK SISTER SHE GO .,I asked my sister if she was going.
COW COLOR WHAT? BROWN .,The cow is brown.
EXCUSE I LOOK-FOR INTERPRET+AM GO WHERE ?,"Excuse me, I'm looking for the interpreter. Where should I go?"
EVERY-FRIDAY YOU EAT FISH ?,Do you eat fish every Friday?
NAME ?,What's your name?
EASTER WHEN ? SUNDAY APRIL SEVENTEEN .,"Easter is Sunday, April seventeenth."
MESSY BASEMENT MUST CLEAN BITE THE BULLET I .,I need to bite the bullet and clean my messy basement.
TEA I HATE I .,I hate tea.
YOU W-G-D GO-TO SHOULD .,You should go to the games.
TWO COOKIES PLUS TWO COOKIES PLUS TWO COOKIES EQUAL SIX COOKIES .,2 COOKIES + 2 COOKIES + 2 COOKIES = 6  COOKIES
"CLOTHES PUT-IN WASH-IN-MACHINE , FRUSTRATE RUIN .","I put my clothes in the washing machine and to my dismay, they were ruined."
J-O-H-N AND I MAYBE MARRY .,Maybe John and I will get married.
MY BROTHER WASTE FOOD .,My brother wastes food.
"YES , I HAVE NEW BICYCLE .","Yes, I have a new bicycle."
"YOUR MONEY , YOU KEEP WHERE ?",Where do you keep your money?
TURKEY I NONE EAT .,I didn't eat any turkey.
ONE-HOUR EQUAL HOW-MANY MINUTE ?,How-many minutes are in an hour?
ADVERTISEMENT YOU-SEND-I !,Send me the advertisement!
HOW BECOME STRONG ?,How can one become strong?
MONEY HE-GIVE-TWO-THEY .,He gave the two of them some money.
WHY ASL TEACH+AM TELL LEARN+AM SHUT-UP ?,Why did the ASL teacher tell the students to learn and shut up?
GOLF MY MOM FAVORITE SPORT .,My mom's favorite sport is golf.
"P-A-U-L , M-A-R-Y MARRY SIX-MONTH , HAPPEN DIVORCE .",Paul and Mary were married for six months when they got divorced.
"PAST NIGHT , MAKE P-I-E .","Last night, I made a pie."
I SIGNER I ?,Am I a signer?
COME-HERE HOME LEFT FIFTY-CENT .,I had fifty cents left when I came home.
IT LOOK PERFECT IT  .,The dress looks perfect!
YOUR DOCTOR APPOINTMENT WHEN ?,When is your doctor appointment?
YOU LIKE DANCE ?,Do you like to dance?
"BUT SOME EXACT , LIKE SMALL BROTHER .","But some were perfect, like the little brother."
TOMORROW RAIN GAME CANCEL .,"If it rains tomorrow, the game will be canceled."
S-T-E-V-E PENCIL PUT DOWN .,"Steve, put down the pencil."
FLUNK WILL I .,I will flunk.
SATURDAY AND SUNDAY YOU DO++ ?,What do you do on Saturday and Sunday?
"RELAX , I GOOD .","Relax, I am good."
"YOUR UNCLE , NAME ?",What is the name of your uncle?
TODAY WEATHER COLD .,The weather is cold today.
NEXT-YEAR MEETING . WHERE? L-A .,Next year the meeting will be in Los Angeles.
"CABINET OLD , I TAKE-OUT , PUT-IN NEW .",I'm taking out these old cabinets and putting in new ones.
NAME SIGN WHAT ?,What is your sign name?
CAN COMPUTER FEEL EMOTION ?,Can a computer feel emotions?
TIME THREE-THIRTY NIGHT  .,It's 3:30pm.
WHAT YOU ENTHUSIASTIC ?,What are you enthusiastic about?
US-TWO P-A-R-K GO .,Use two are going to the park.
EVERY-DAY WE CANOE++ .,We went canoeing every day.
"YOUR FAVORITE TOWEL , WHAT COLOR ?",What is your favorite towel color?
ROLLERSKATE SMOOTH CAN YOU ?,Can you skate smoothly on roller skates?
HE LIKE SHE .,He likes her.
"I SENIOR I TAKE-UP ENGLISH , MATH , GOVERNMENT .","I'm a senior taking English, math, and government."
PARENTS DEAF .,My parents are deaf.
"WHERE LIVE YOU , APPROXIMATELY ?",Approximately where do you live?
TWO-HOUR I INTERPRET-CONTINUALLY .,For 2 hours I interpreted. 
I DON'T LIKE WRITE .,I don't like to write.
J-I-L-L-I-A-N MAJOR WHAT? MEDICINE .,Jillian's major is medicine.
I HUNGRY WHY? EAT LUNCH NOT .,I'm hungry because I didn't eat lunch.
MY APPOINTMENT TIME ELEVEN-THIRTY .,My appointment is at eleven-thirty.
GIRL SHE WANT BOOK SHE .,The girl wants a book.
"YOU EAT A LOT , REGULAR , WHICH ?","Do you eat a lot, or do you eat a normal amount?"
SHE EAT MEAT NOT .,She's a vegetarian.
INTERPRET+AM I .,I'm an interpreter.
A-P-R-I-L RAIN M-A-Y FLOWERS GROW GROW GROW .,April showers bring May flowers.
RAIN COAT HAVE YOU ?,Do you have a raincoat?
"YOU PLAY CONTINUE FIVE-MINUTE FINISH , YOU SLEEP .",You continue playing for five minutes then go to sleep.
YOU MARRY ?,Are you married? 
YOURSELF TAKE .,Take it out yourself.
HEAR-AID USE YOU ?,Do you use a hearing aid?
THEY TIRED THEY .,They are tired.
RIDE HORSE LOVE SHE .,She loves to ride horses.
I NEED YELLOW PAPER FOR CLASS I .,I need yellow paper for class.
FREEDOM HAVE PRICE NONE .,You can't put a price on freedom.
SAME-HERE . I TAKE-UP ASL .,Same as you. I am taking ASL too.
LONG-AGO T-T-Y COST FORTY DOLLAR .,"A long time ago, TTYs cost forty dollars."
ONLY MEET YOU ?,Is somebody meeting you?
FOURTEEN COOKIES T-I-M ATE .,Tim ate fourteen cookies.
EVERY YEAR CHRISTMAS MY BOSS GIVE I ONE HUNDRED DOLLARS .,Every year my boss gives me one hundred dollars for Christmas.
WANT SEE AGAIN I .,I want to see it again.
ALABAMA WHERE? SOUTH .,Alabama is in the south.
IN-TWO-WEEK THURSDAY EAT BROTHER HOUSE .,The following Thursday we'll eat at my brother's house.
WHAT OPPOSITE UP ?,What is the opposite of up?
ROLLER-SKATE YOU AWKWARD YOU ?,Are you awkward when you roller-skate?
YOU HURT WHERE? YOU-SHOW-I .,Show me where you are hurt.
"MOVIE , GO TUESDAY NIGHT , GOOD WHY ?",Why are Tuesday nights a good time to go to the movies?
"MY NIECE , SHE LIKE CAR BLUE .",My niece likes blue cars.
"BLOOD , WHAT-KIND YOU ?",What blood type are you?
"STUDENT FAIL CLASS , WHY ?",Why did the student fail the class?
"HAMMER , YESTERDAY I LOST .",I lost the hammer yesterday.
EXERCISE HATE++ I .,I hate exercising.
YOUR GRANDPA BALD ?,Is your grandpa bald?
"I LECTURE FEW MINUTES FINISH , YOU TAKE-UP TEST .","I'll lecture for a few minutes, then you'll take the test."
"SISTER , BROTHER ASK-QUESTION .",I asked my sister and brother.
NAME RESTAURANT YOU THINK SERVICE LOUSY ?,What's the name of a restaurant you think has lousy service?
"STORY ABOUT THREE RABBIT , EXCITING .",The story about the three rabbits is exciting.
"NOW YEAR , I GROW NOTHING .",I didn't grow anything this year.
